plant_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
399,5076,49691,22195,35589,35984,6406,97184,54756,24996,10573,39491,13264
399,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0
400,625511,1901380,1673260,1473307,1558024,1126008,2037940,2131993,1459978,306108,152140,96263
400,0,0,0,0,0,0,0,0,0,0,0,0
400,352186,186694,79251,831,487,59892,127253,170045,79307,201267,361516,127432
400,0,0,0,0,0,0,0,0,0,0,0,0
400,311026,225511,506375,452553,0,0,213270,583490,5504,315311,214861,552786
400,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0,0,0
404,0,412394,145946,216722,128680,461220,1133052,1233229,742736,1044860,1273428,1172676
404,0,0,0,0,0,0,0,0,0,0,0,0
404,123894,74249,23076,807,7928,9446,358508,302579,155978,287111,244151,46082
404,0,0,0,0,0,0,0,0,0,0,0,0
404,137569,36156,0,0,5674,152854,46996,235881,75194,41896,0,35344
404,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
408,664926,0,6584,908183,434398,463490,1392745,1380722,735699,1195228,1505504,1652260
408,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
408,3002,5140,2809,7872,15062,2389,28011,27781,1475,2417,379,25791
408,0,0,0,0,0,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0,0,0,0,0,0
436,0,0,0,0,0,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0,0,0,0,0,0
442,0,0,0,0,0,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,0,0,0,0,0
446,13436,10458,14384,72,10396,9956,9110,4219,4687,1490,3644,9038
447,0,0,0,0,0,0,0,0,0,0,0,0
448,167620,93250,159980,19660,33360,21870,10770,15160,8400,2930,2090,23300
450,0,0,0,0,0,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0,0,0,0,0,0
454,0,0,0,0,0,0,0,0,0,0,0,0
467,198,381,123,183,239,208,245,224,218,219,265,281
469,0,0,0,0,0,0,0,0,0,0,0,0
469,1766687,1581399,1771489,1334972,1936012,1878589,1913122,2092912,1160492,1614498,1967501,1386036
469,0,0,0,0,0,0,0,0,0,0,0,0
469,1413887,1143997,975,0,5046,644432,1008745,670592,601474,332033,0,0
470,112299,113531,120830,74229,110357,119018,121941,125071,132580,105955,81865,76127
470,298811,270301,231848,276566,342600,322022,364839,343354,331657,344789,301594,315524
