plant_id,total_fuel_consumption_quantity,total_elec_consumption,total_fuel_consumption_MMBtu,total_elec_consumption_MMBtu,net_gen_MWh
1167,0,0,0,0,0
1167,398211,186835,6508379,3053198,537329
1233,1209956,1209956,1252274,1252274,107336
1233,0,0,0,0,0
1239,0,0,0,0,400300
1239,8175007,8175007,8427495,8427495,746496
1239,8,8,45,45,0
1239,4350,4350,4494,4494,250
1240,6106,6106,35555,35555,3021
1240,4464209,4464209,4464209,4464209,435005
1240,25,25,146,146,13
1241,0,0,0,0,0
1241,42833,42833,243967,243967,22310
1241,4149400,4149400,71578235,71578235,6587118
1250,1418151,1418151,1418151,1418151,121520
1250,1050502,1050502,18806816,18806816,1610428
1355,510,510,2998,2998,147
1355,819799,819799,840294,840294,55120
1355,0,0,55996,55996,16411
1355,469267,469267,10446882,10446882,889946
1355,6779,6779,39861,39861,2514
1356,4411878,4411878,106006481,106006481,9761641
1356,18931,18931,111314,111314,10217
1356,0,0,0,0,0
1356,0,0,0,0,0
1363,0,0,0,0,1745902
1363,31159995,31159995,33185395,33185395,3119607
1363,0,0,0,0,0
1363,0,0,0,0,0
1364,3354497,3354497,77371773,77371773,7518531
1364,212774,212774,226604,226604,22034
1364,0,0,0,0,0
1366,284973,284973,303496,303496,27101
1377,0,0,4049813,4049813,1186933
1378,16934336,16934336,16934336,16934336,2517015
1378,0,0,0,0,0
1378,29191455,29191455,29191455,29191455,4337176
1379,14346,14346,253924,253924,22047
1379,20283,20283,116869,116869,9814
1379,3142708,3142708,55621119,55621119,4691108
1384,217169,217169,5047908,5047908,476786
1384,4714,4714,27435,27435,685
1391,24347748,9537213,24754076,9697606,2131654
1391,42060,15163,34997,12621,2775
1391,0,0,0,0,0
1391,42058,14113,42360,14210,3124
1391,16417526,5253832,14188544,4536642,997210
1393,8624,8519,50882,50260,4651
1393,92369,92035,97912,97557,9443
1393,93117,87710,2804597,2641734,216447
1393,921655,919262,16275534,16233308,1509613
1396,9691720,9691720,9982472,9982472,1288324
1396,19033867,19033867,19604883,19604883,2530034
1402,0,0,0,0,0
1402,6500078,6500078,6572223,6572223,575976
1403,0,0,0,0,570
1403,514528,514528,525459,525459,1551216
1403,1833,1833,10816,10816,1018
1403,28683305,28683305,29222112,29222112,2758173
1403,0,0,0,0,0
1403,39418345,39418345,39982078,39982078,3737774
1507,6549,6549,0,0,-1266
1507,954,954,5535,5535,284
1507,83066,83066,516269,516269,40250
1554,231,231,1341,1341,61
1554,20518,20518,485001,485001,29959
1554,7407,7407,44368,44368,1056
1554,160097,160097,166479,166479,8559
1554,0,0,0,0,0
1554,81794,81794,486605,486605,28494
1556,16857,16857,97079,97079,8476
1556,2582409,2582409,2672543,2672543,238388
1571,0,0,0,0,0
1571,5217,5217,30043,30043,1201
1571,258701,258701,272449,272449,20322
1571,0,0,0,0,0
1571,7435447,7435447,7814491,7814491,669151
1571,0,0,0,0,0
1572,0,0,0,0,0
1572,891,891,5139,5139,415
1572,3367167,3367167,3532158,3532158,287349
1573,0,0,0,0,0
1573,1156,1156,6649,6649,-1057
1574,0,0,6241849,6241849,1829381
1580,784,784,4565,4565,-963
1580,0,0,0,0,0
1588,16358,16358,16975,16975,450139
1588,9525568,9525568,9900679,9900679,856298
1588,0,0,0,0,0
1595,0,0,0,0,679
1595,181212,181212,186252,186252,165470
1595,10635,6532,61683,37884,5803
1595,14039612,8453014,14427711,8686610,1351048
1595,0,0,0,0,0
1595,1782,628,10336,3651,642
1599,1921,1921,11142,11142,380
1599,4271,4271,4386,4386,-1051
1599,885,885,5133,5133,51
1599,359083,359083,368778,368778,27226
1599,82427,82427,519290,519290,33174
1702,0,0,0,0,0
1702,4113,4113,23839,23839,1694
1702,806462,806462,832269,832269,26312
1702,12272,12272,74736,74736,2690
1702,359340,359340,6413629,6413629,582481
1710,4345,4345,97710,97710,9542
1710,37143,37143,216841,216841,20816
1710,3759574,3759574,67288242,67288242,6584414
1713,3079168,3079168,0,0,-810138
1729,1681,1681,9727,9727,51
1729,0,0,97751382,97751382,9355990
1733,76,76,442,442,-252
1733,832644,832644,16625966,16625966,1749302
1733,67712,67712,394084,394084,41269
1733,529886,529886,10485257,10485257,1098306
1733,0,0,0,0,0
1733,4206604,4206604,82485658,82485658,8586417
1740,0,0,0,0,0
1740,0,0,0,0,-14
1740,0,0,0,0,0
1740,0,0,0,0,0
1743,0,0,0,0,0
1743,8377,8377,8444,8444,454
1743,0,0,0,0,0
1743,0,0,0,0,0
1743,0,0,0,0,-120
1743,0,0,0,0,0
1743,0,0,0,0,0
1743,0,0,0,0,0
1743,0,0,0,0,0
1743,0,0,0,0,0
1743,0,0,0,0,0
1743,0,0,0,0,0
1745,0,0,0,0,0
1745,0,0,0,0,0
1745,0,0,0,0,0
1745,0,0,0,0,0
1746,557,557,3231,3231,-50
1866,108,108,634,634,71
1866,0,0,0,0,0
1866,0,0,0,0,0
1866,0,0,0,0,0
1893,0,0,0,0,0
1893,155613,155613,159511,159511,14546
1893,0,0,0,0,0
1893,3073259,3073259,54980238,54980238,5027572
1897,14849,4800,15162,4900,742
1897,5753,1872,99356,32367,4984
1897,130318,42532,1259248,409846,62462
1912,5160883,5160883,5610037,5610037,969122
1912,9281943,9281943,10130096,10130096,1470553
1915,1378,1378,7935,7935,512
1915,131847,131847,142836,142836,7540
1915,558252,558252,9538788,9538788,920335
1922,0,0,50082476,50082476,4793499
1925,0,0,39503804,39503804,3780992
1925,0,0,34992036,34992036,3349161
1926,144107,144107,1169413,1169413,59515
1926,92135,92135,1429273,1429273,72740
1926,18295,18295,20074,20074,1020
1926,2392,2392,26312,26312,1302
1927,0,0,0,0,2
1927,0,0,0,0,847897
1927,7,7,42,42,4
1927,16519864,16519864,17917472,17917472,1621188
1934,103528,103528,840102,840102,42889
1934,66190,66190,1026792,1026792,52419
1934,31036,31036,33990,33990,1725
2039,305,305,1739,1739,126
2039,657119,657119,657119,657119,58104
2047,0,0,0,0,0
2047,0,0,0,0,0
2047,13821690,11414022,14167232,11699373,1019163
2049,30647,30647,31729,31729,1493
2049,33216974,33216974,34388706,34388706,3270047
2050,0,0,0,0,0
2050,0,0,0,0,0
2050,0,0,0,0,0
2070,1802711,1802711,1855093,1855093,740428
2070,13089843,13089843,13465906,13465906,1096252
2070,0,0,0,0,0
2070,2960282,2960282,3045570,3045570,247412
2070,659074,659074,678803,678803,57710
2070,0,0,0,0,0
2079,66130,66130,66130,66130,-201890
2079,2004905,2004905,2004905,2004905,132858
2079,2388279,2388279,2388279,2388279,197690
2079,1188588,1188588,1188588,1188588,107321
2079,1266636,1266636,22488638,22488638,2123527
2098,8580,2015,49768,11689,1593
2098,348939,89493,348939,89493,12241
2098,2461,166,14292,965,25
2098,2624305,347545,2624305,347545,34304
2098,0,0,0,0,0
2098,78742,5143,1348840,88557,3093
2098,0,0,0,0,0
2103,28990,28990,166791,166791,15423
2103,0,0,0,0,0
2103,9566553,9566553,171030605,171030605,15767071
2104,0,0,0,0,0
2104,0,0,0,0,0
2104,0,0,0,0,-1128
2104,0,0,0,0,0
2104,0,0,0,0,-774
2107,247642,247642,5439525,5439525,522703
2107,14488,14488,83346,83346,7817
2107,0,0,0,0,0
2107,1475354,1475354,26295302,26295302,2519992
2108,470368,470368,0,0,-129965
2161,2298,2298,13671,13671,976
2161,1775924,1775924,1823983,1823983,137714
2167,6401,6401,37639,37639,3563
2167,2833895,2833895,49399027,49399027,4707141
2167,0,0,0,0,0
2168,9973,9973,58640,58640,5833
2168,3398326,3398326,59035721,59035721,5931810
2168,0,0,0,0,0
2277,22409,22409,23209,23209,1928
2277,485935,485935,8430613,8430613,718981
2291,2049691,2049691,2159603,2159603,187625
2291,943381,943381,16063619,16063619,1381874
2322,0,0,0,0,135539
2322,3945170,3945170,4100891,4100891,297245
2322,1534430,1534430,1597859,1597859,137879
2330,4867480,4867480,5085828,5085828,418217
2336,3353520,3353520,3574597,3574597,1350869
2336,24288200,24288200,25476953,25476953,2378664
2336,1589200,1589200,1668924,1668924,121472
2336,475880,475880,496353,496353,38365
2364,3523,3523,20083,20083,1318
2364,0,0,0,0,0
2364,69687,69687,1837532,1837532,160140
2364,562,562,3260,3260,279
2364,0,0,0,0,0
2367,1663,1663,9479,9479,597
2367,0,0,0,0,0
2367,0,0,0,0,0
2367,0,0,0,0,0
2367,0,0,0,0,0
2367,0,0,0,0,0
2367,0,0,0,0,0
2367,0,0,0,0,0
2398,0,0,0,0,2549
2398,365078,365078,373537,373537,935747
2398,0,0,0,0,0
2398,10928,10928,61738,61738,4692
2398,19970363,19970363,20451828,20451828,1667094
2406,0,0,0,0,4128
2406,2125769,2125769,2197466,2197466,1801589
2406,14630,14630,84971,84971,6600
2406,31271434,31271434,32346761,32346761,2856170
2406,822,822,4772,4772,214
2406,269550,269550,278332,278332,20665
2410,0,0,0,0,0
2410,0,0,0,0,0
2410,0,0,95180372,95180372,9109913
2410,0,0,97032016,97032016,9287138
2411,0,0,0,0,2504
2411,1234009,1234009,1280861,1280861,1082047
2411,8800,8800,50846,50846,5284
2411,20030412,20030412,20798025,20798025,2112147
2411,0,0,0,0,0
2434,0,0,0,0,0
2434,0,0,0,0,0
2434,683400,683400,704313,704313,68737
2434,0,0,0,0,0
2442,0,0,0,0,0
2442,617100,617100,635254,635254,63098
2442,4032816,4032816,73756604,73756604,7371813
2444,741471,741471,757175,757175,73925
2444,9062338,9062338,9259684,9259684,821141
2446,3133504,3133504,3211840,3211840,224530
2446,5019941,5019941,5141848,5141848,479994
2450,0,0,0,0,0
2450,0,0,0,0,0
2450,5271665,5271665,5418027,5418027,420601
2454,7899068,7899068,8009864,8009864,675299
2454,6437057,6437057,6488419,6488419,619325
2490,11628,11628,11985,11985,610
2490,11262363,11262363,11739172,11739172,1043717
2493,0,0,0,0,0
2493,22116067,15694812,22912244,16259825,2022088
2493,1178,893,6719,5093,610
2493,11886322,8344814,12314230,8645227,1051671
2493,9269,5898,55911,35578,4338
2500,0,0,0,0,0
2500,0,0,0,0,0
2500,9042,9042,51717,51717,7152
2500,13589944,13589944,13997643,13997643,1902489
2500,0,0,0,0,0
2500,11123,11123,11456,11456,783
2500,9257,9257,54431,54431,3703
2500,9388396,9388396,9670048,9670048,788398
2511,4973,4973,28530,28530,1820
2511,1998756,1998756,2058718,2058718,127403
2511,13849889,13849889,14255053,14255053,1289113
2511,16186,16186,102819,102819,9474
2516,593,593,3414,3414,8
2516,25051952,25051952,25863292,25863292,2353847
2516,63279,63279,400957,400957,36317
2517,0,0,0,0,0
2517,2282,2282,13124,13124,961
2517,670410,670410,691728,691728,62488
2517,3370707,3370707,3473961,3473961,281321
2517,21317,21317,135400,135400,10698
2539,0,0,0,0,0
2539,2258825,2258825,2333366,2333366,267718
2539,0,0,0,0,0
2539,39994985,39994985,41284672,41284672,4090152
2589,0,0,48777804,48777804,4668626
2589,0,0,113238296,113238296,10838275
2594,0,0,0,0,0
2594,68450,68450,70675,70675,-3153
2594,104157,104157,613440,613440,50087
2625,9140633,9140633,9387282,9387282,929680
2625,10159,10159,62173,62173,6149
2691,458866,458866,0,0,-146631
2692,651069,651069,0,0,-226158
2693,0,0,53738627,53738627,15749890
2694,0,0,24316579,24316579,7126782
2706,0,0,0,0,229
2706,0,0,0,0,1270370
2706,770,770,4420,4420,438
2706,24111507,24111507,24878902,24878902,2473855
2706,1121,1121,6435,6435,363
2706,1540097,1540097,1588561,1588561,133713
2712,1780831,1780831,44908446,44908446,4015419
2712,51324,51324,296884,296884,25406
2718,66142,66142,1609298,1609298,78577
2718,7324,7324,42478,42478,2182
2720,0,0,0,0,0
2720,3361714,3361714,3472398,3472398,1580825
2720,0,0,0,0,0
2720,22906978,22906978,23661327,23661327,2238594
2721,973798,973798,24085062,24085062,2418536
2721,14564,14564,84471,84471,5199
2721,26796324,26796324,27652505,27652505,2821072
2723,0,0,0,0,0
2723,3186033,3186033,3291612,3291612,1576101
2723,0,0,0,0,0
2723,22356071,22356071,23097818,23097818,2153377
2727,1411056,1411056,35704214,35704214,3512125
2727,375,375,2175,2175,214
2727,33432030,33432030,34491817,34491817,3387056
2735,0,0,36204,36204,10611
2756,0,0,773985,773985,226842
2780,0,0,882711,882711,258708
2780,393,393,0,0,0
2790,337702,337702,371627,371627,27493
2790,0,0,0,0,0
2790,0,0,0,0,0
2790,0,0,0,0,0
2790,0,0,0,0,0
2817,20032,20032,114899,114899,9793
