plant_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
404,0,0,0,0,0,0,0,0,0,0,0,0
404,130460,77145,23976,831,8174,9748,371056,313169,160657,294289,251231,48156
404,0,0,0,0,0,0,0,0,0,0,0,0
404,144860,37566,0,0,5850,157745,48641,244137,77450,42943,0,36934
404,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
408,693518,0,6782,933612,446127,475541,1438706,1427667,756299,1226304,1549164,1720003
408,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0
408,3131,5335,2893,8092,15469,2451,28935,28726,1516,2480,390,26848
408,0,0,0,0,0,0,0,0,0,0,0,0
425,0,8363,5483,165380,272537,294896,328408,321564,314102,2122,127117,83512
430,190717,135644,187131,175568,185200,184678,163561,152561,144270,42217,6060,76330
431,268726,201404,194951,180167,286598,289518,237178,222183,212885,60573,15221,119949
435,418444,194296,376644,424163,419454,417820,208780,118564,123361,35662,22396,101961
436,6739,18954,216481,405666,413831,389395,428213,452626,424050,420352,450012,330770
437,43298,70502,288918,407809,496917,516908,466461,607438,870780,470303,390193,331868
437,0,0,0,0,0,0,0,0,0,0,0,0
438,720,2419,42486,34543,36955,13433,6111,49460,37106,34024,22618,24570
438,0,0,0,0,0,0,0,0,0,0,0,0
439,142639,104626,209060,229385,236871,228304,201697,214014,124480,88524,22161,34785
441,344394,202939,341992,365036,437340,374518,252560,244470,176690,144447,75392,94441
442,1416,1232,0,331,1795,21902,70980,73843,98897,78237,31251,215
443,55653,45219,55121,64040,158788,131730,154465,140039,101579,97413,72413,70529
445,96949,201462,154021,308489,1023576,789789,868995,766076,520535,470344,369690,366466
446,0,0,0,0,0,0,0,0,0,0,0,0
447,58615,86242,131270,157941,154134,149514,149845,113780,109184,103824,67697,56206
448,0,0,0,0,0,0,0,0,0,0,0,0
450,178492,14593,100074,72856,19534,7984,55343,58755,80428,54599,27961,26549
451,11874,24375,6786,111194,99647,51132,77183,90329,90858,75634,35874,13201
454,642210,305504,679333,788766,835462,668510,620650,534169,168754,179113,196101,165448
467,0,0,0,0,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0,0,0,0,0
469,1876222,1682609,1874235,1415070,2069597,2010090,2045127,2233137,1239405,1485338,1817971,1387422
469,0,0,0,0,0,0,0,0,0,0,0,0
469,1501548,1217213,1032,0,5394,689542,1078348,715522,642374,305470,0,0
470,109716,111033,118293,72373,112454,122946,124746,127197,135497,106167,80555,75061
